ABH   Aalborg - Hadsund
AHG   Aarhus H - Grenaa
AHS   (Aalborg -) Svenstrup Jylland - Hvalpsund
AHT   Aarhus - Hammel - Thorsø
AOH   Aalborg - Aalborg Havne
BRB   Brenderup - Bogense
BTR   Bramming - Tønder Grænse
DMS   Dalmose - Skælskør
ETT   Ebeltoft - Trustrup
FBM   Funder - Bramming
FFH   Fredericia - Frederikshavn
FSS   Frederikshavn - Skagen (smalspor)
FHS   Frederikshavn - Skagen
FPB   Fredericia - Padborg Landegrænse
FPS   Fredericia gamle - Pjedsted
FVB   Fårup - Viborg
GRD   Gram - Rødding
GTV   Gesten - Vejen
HAS   Haderslev Syd - Årøsund Havn
HBS   Horsens - Bryrup - Silkeborg
HBV   Holstebro - Vejle
HCF   Haderslev - Christiansfeld
HFH   Hillerød - Frederiksværk - Hundested Havn
HHH   Hjørring - Hirtshals
HHS   Hellerup - Hillerød - Snekkersten
HJM   Horsens - Juelsminde
HKG   Hillerød - Kagerup - Gilleleje
HLA   Hjørring - Løkken - Aabybro
HLR   Hårlev - Rødvig
HLS   Hobro - Løgstør
HNS   Holbæk - Nykøbing Sjælland
HOA   Hou - Odder - Aarhus H
HRG   Helsingør - Gilleleje
HRH   Hjørring - Hørby
HRS   Hillerød - Harløse - Skævinge
HSB   Haderslev - Skodborg
HSO   Horsens - Odder
HTG   Horsens - Thyregod
HTL   Høng - Tølløse
HVA   Haderslev - Vojens - Arnum
HVI   Herning - Viborg
HVL   Hørve - Værslev
JBV   Jægersborg - Vedbæk
KFA   København H - Fredericia
KFS   København H - Frederikssund
KFX   Køge - Faxe
KHK   København H - Køge
KHR   København H - Helsingør
KHS   Korsør - Halsskov
KJX   Køge Nord - Køge Nord N201
KKB   København H - Klampenborg (S-tog)
KPH   København H - Peberholm grænse
KRS   Køge - Ringsted
KTD   Kagerup - Tisvildeleje
KVH   København H - Vigerslev - Hvidovre Fjern
LAL   Lindholm - Aalborg Lufthavn
LBS   Laurbjerg - Silkeborg
LEM   Lygten - Emdrup
LES   Lunderskov - Esbjerg - Struer
LLX   Lyngby - Lyngby Lokal
LMM   Lille Mommark - Mommark Færge
LST   Langå - Struer
LTY   Lemvig - Thyborøn
MAF   Mariager - Fårup
MBH   Maribo - Bandholm
MFS   Middelfart - Strib
MKH   Masnedsund - Kalvehave
MRH   Maribo - Rødbyhavn
MTR   Maribo - Torrig
NFH   Nørresundby H - Frederikshavn
NHV   Nørresundby S - Nørresundby H
NKG   Nykøbing Falster - Gedser
NKN   Nakskov - Kragenæs
NNN   Nørre Nebel - Nymindegab
NNS   Nykøbing Falster Vest - Nakskov
NOH   Nyborg - Nyborg Oliehavn
NPM   Næstved - Præstø - Mern
NRF   Nyborg - Ringe - Faaborg
NRY   Nakskov - Rødby
NSF   Nørresundby - Fjerritslev
NSH   Nyborg - Slipshavn
NYB   Nyborg Færge - Nyborg
NYM   Nykøbing Mors
ODS   Odense Syd - Odense Kløvermosevej
OHN   Orehoved - Nørre Alslev
OKM   Odense - Kertminde - Martofte
OMF   Odense - Brenderup - Middelfart
ONF   (Odense -) Fruens Bøge - Nørre Broby - Faaborg
ORA   Ørsø - Asaa
OSB   Odense - Svendborg
RAP   Randers - Randers Privb
RAR   Randers - Ryomgård
RBB   Rødekro - Bredebro
RBK   Rudkøbing - Bagenkop
RFH   Ringsted - Frederikssund - Hillerød
RGG   Ryomgård - Gjerrild - Grenaa
RHS   Randers Privb - Hadsund
RKA   Rødekro - Åbenrå Havne
RKB   Roskilde - Kalundborg
RKN   Roskilde - Næstved
RME   Rask Mølle - Ejstrupholm
ROH   Ringkøbing - Ørnhøj - Holstebro
RSR   Ringsted – Rødby Færge
SBF   Svendborg - Katterød (- Faaborg)
SBS   Skanderborg - Skjern
SBT   Sønderborg - Tønder
SGG   Skive - Glyngøre
SHT   Snoghøj - Taulov
SKR   Silkeborg - Kjellerup - Rødkærsbro
SLS   Skrøbelev - Spodsbjerg
SMM   Sønderborg - Mommark Færge
SMS   Svanemøllen - Slangerup
SNB   Svendborg - Nyborg
SNN   Stubbekøbing - Nykøbing - Nysted
SNV   Slagelse - Næstved
SRV   Sorø - Vedde
SSB   Sønderborg By - Skovby
SSK   Svendstrup - Korsør Færge
STS   Struer - Thisted
SVB   Skjern - Videbæk
SVL   Slagelse - Værslev
SVS   Skive - Spøttrup
TAS   Tommerup - Assens
TBP   Tørsbøl - Padborg
TFL   Thisted - Fjerritslev
THK   Trolhede - Kolding
THS   Tønder - Højer Sluse
USB   Ustrup - Skærbæk Amtsbane
VBA   Viborg - Aalestrup
VBM   Vordingborg - Masnedø
VGS   Varde - Grindsted
VHL   Vojens - Haderslev
VHT   Valby - Høje Taastrup (S-tog)
VKB   Vigerslev - Kalvebod
VLH   København Syd - Hellerup
VLV   Vemb - Lemvig
VNB   Vollerup - Nordborg
VNT   Varde - Nørre Nebel – Tarm
VOV   Vodskov - Østervrå
VRS   Vigerslev - Ringstedt
VSS   Vester Sottrup - Skelde
VVG   Vejle Nord - Vandel - Grindsted


ARG   Aabenraa - Gråsten
776   Aabenraa - Løgumkloster Amtsbanegård

    Hellerup - Hellerød


    Kolding Nord [FP] - Egtved
    Kolding Sydbanegård [FP] - Hejlsminde
    Kolding Sydbanegård [FP] - Vamdrup Øst

    Bornholm

    Næstved: https://da.wikipedia.org/wiki/Milit%C3%A6rsporet
    Frederiksberg - Vanløse
    Masnedsund [RR, Vordingborg] - Kalvehave
    Lersøen - Østerort -- https://da.wikipedia.org/wiki/Frihavnsbanen

    Metro København
    Odense Letbane
    Aarhus Letbane
