HT  Haapsalu - Tallinn-Balti
KK  Klooga - Kloogarand
KM  Koikküla (riigipiir) - Mõniste (riigipiir)
KP  Keila - Paldiski
KR  Kliima - Kliima (riigipiir)
LM  Lagedi - Muuga
LN  Liiva - Vääna
LV  Lelle - Viljandi
MV  Mõisaküla - Viljandi
RI  Riisselja - Ikla
RK  Rakvere - Kunda
RV  Rapla - Virtsu
SA  Sonda - Aseri
SM  Sonda - Mustvee
TJ  Tallinn - Viljandi
TK  Tartu - Koidula
TM  Tallinn - Mõisaküla (riigipiir)
TN  Tallinn-Balti - Narva (riigipiir)
TP  Tammiste - Pärnu M.
TT  Türi - Tamsalu
TV  Tapa - Valga (riigipiir)
UL  Ülemiste - Liiva
UM  Ülemiste - Maardu
VK  Valga - Koidula (riigipiir)
VM  Valga - Koikküla
VR  Valga - Valka (riigipiir)
VV  Viluvere - Vändra
 
