# ELR Codes

AFS     Aviemore - Forres
ANI3    Forres - Millburn Junction (- Inverness)

BAF     Ballinluig - Aberfeldy

DFS     Fodderty Junction - Strathpeffer
DNB     The Mound - Dornoch (Dornoch Light Railway)

HGL2    Stanley Jn - Inverness (Highland Line)

IGN     Invergordon Harbour Jn - Ingvergordon Harbour
IMB     (Inverness) Canal Branch Jn - Muirtown Canal Basin

KYL     Dingwall - Kyle of Lochalsh

LLR     Wick - Lybster (Wick and Lybster Light Railway)

MOF     Muir of Ord - Fortrose

RSW     Welsh’s Bridge Jn - Rose Street Jn (Rose St.Curve)

TSO     Georgemas Jn - Thurso (Thurso Branch)

WCK     Inverness - Wick (Wick Line)

