# Linee Ferroviarie Italiane
#

AAP     Adria - Ariano Polesine
AAT     Alessandria - Acqui Terme
ACV     Asti - Chivasso
ADM     Adria - Venezia Mestre
ALO     Alessandria - Ovada
ANA     Alessandria - Novara - Arona
API     Alessandria - Piacenza
ARD     Arona - Domodossola
ASL     Airasca - Saluzzo
ATO     Bivio Adda - Treviglio Ovest
BAM     Bologna Centrale - Milano Rogoredo (AV)
BAV     Bivio d'Aurisina - Bivio d'Aurisina Viadotto
BAX     Busto Arsizio Nord - Busto Arsizio
BAZ     Castellanza - Busto Arsizio
BBA     Biella - Balma
BBB     Bressana Bottarone - Broni
BBE     Bricherasio - Barge
BCR     Bornato-Calino - Rovato Borgo
BCT     Brunico - Campo Tures
BED     Brescia - Edolo
BGL     Bergamo - Lecco
BGP     Bassano del Grappa - Padova
BIE     Briga confine - Iselle di Trasquera (galleria est)
BIO     Briga confine - Iselle di Trasquera (galleria ovest)
BIS     (Brescia -) Paderno - Iseo
BLS     Bussoleno - Salbertrand
BMO     Bastia Mondovì - Mondovì Breo
BMR     Raccordo di Bastia Mon
BOM     Bologna Centrale - Milano Rogoredo
BOP     Bologna Centrale - Padova
BOV     Bologna Centrale - Verona Porta Nuova
BRA     Bribano - Agordo
BRO     Brescia Ovest - Bivio Roncadelle
BSU     Bussoleno - Susa
BTL     Bettole - Luino Lago
BUD     Busca - Dronero
BVM     Biella - Vallemosso
BZC     (Bolzano -) Bivio per l'Oltradige - Caldaro
BZM     Bolzano - Malles Venosta-Mals
BZO     Bolznao - Bivio per l'Oltradige
CAD     Bivio Casirate - Bivio Adda
CAM     Castagnole delle Lanze - Asti - Mortara
CAN     Bivio Caldaro - Sant’Antonio
CAO     Chivasso - Aosta
CAP     Cervignano-Aquileia-Grado - Pontile per Grado
CBO     Cuneo - Borgo S. Dalmazzo
CCF     Bivio Madonna dell'Olmo lato Fossano - Cuneo Gesso
CCG     (Cuneo -) Bivio Madonna dell'Olmo - Cuneo Gesso
CCM     Cantalupo - Cavallermaggiore
CCP     Castelrosso - Casale Popolo
