AA  Akmenė - Alkiškiai
BN  Bugeniai - Naudvaris
DL  Dovilai - Laugaliai
DS  Darbėnai - Šventoji
GP  Gaižiūnai - Palemonas
JK  Jūrė - Runikiai
JP  Joniškėlis - Žeimelis
JR  Jonava - Rizgonys
JU  Jonava - Ukmergė
JZ  Joniškis - Žeimelis
KD  Klaipėda - Pėžaičiai
KI  Klemiškė - Plikiai
KK  Kaišiadorys - Valstybės siena (Kybartai)
KL  Kužiai - Valstybės siena (Lūšė)
KM  Kazlų Rūda - Valstybės sien (Mockava)
KP  Klaipėda - Pagėgiai
KR  Kazlų Rūda - Pavilkijys
KS  Kretinga - Valstybės siena (Skuodas)
KV  Kyviškės - Valčiūnai
LS  Lentvaris - Valstybės siena (Senovė)
LV  Lentvaris - Vaidotai
ML  Mažeikiai - Valstybės siena (Laižuva)
NT  Naujoji Vilnia - Valstybinė siena (Turmantas)
P.  Valstybės siena (Druskininkai) - Druskininkai
PG  Pabradė - Valstybės siena (Gelednė)
PJ  Panevėžys - Joniškėlis
PK  Palemonas - Jiesia
PL  Petrašiūnai - Linkuvą
PP  Panevezys - Valstybės siena (Švenčionys)
PS  Pagėgiai - Smalininkai
PV  Paneriai - Valčiūnai
RD  Rimkai - Draugystė
RP  Radviliškis - Petrašiūnai
RR  Radviliškis - Valstybės siena (Rokiškis)
RT  Radviliškis - Valstybės siena (Pagėgiai)
RX  Šilėnai - Jonaitiškiai
SB  Šiauliai - Biržai
SJ  Šiauliai - Valstybės siena (Joniškis)
SK  Šilutė - Kulėšai
SL  Šilutė - Šilutės Uostas
SN  Skapiškis - Valstybės siena (Suvainiškis)
ST  Senieji Trakai - Trakai
SU  Švenčionėliai - Utena
SV  Šeštokai - Varėna
TM  Советск Зерновой Рынок - Mikytai
VB  Venta - Bugeniai
VE  Vievis - Elektrėnai
VJ  Vaidotai - Juodšiliai
VK  Vilnius - Klaipėda
VM  Vilnius - Valstybės siena (Kena)
VS  Vilnius - Valstybės siena (Stasylos)
XK  Kaunas - Kazlų Rūda (1435mm)
XP  Rokai - Jiesia (1435mm)
XS  Kazlų Rūda - Šeštokai (1435mm)

