DHA     Den Helder - Amsterdam


ABV     Amsterdam Bijlmer ArenA - Venserpolder aansl.
ACA     Amsterdam Centraal - Amsterdam Amstel
ACG     Amsterdamse Metro: Centraal Station - Gein
ADV     Apeldoorn - Deventer
ADZ     Amsterdam Centraal - Zutphen
AEL     Amsterdam Weesperpoort - Zevenaar grens
AHM     Aalsmeer - Haarlem
AHN     Arnhem - Nijmegen
ALW     Arnhem - Leeuwarden
AMA     Aalsmeer - Amsterdam Haarlemmermeer
AMG     Amsterdamse Metro: Van der Madeweg - Gaasperplas
AMM     Amsterdam Muiderpoort - Muiderstraatweg aansl.
AMO     Amsterdamse Metro: Van der Madeweg - Overamstel
AMT     Aken - Maastricht
ANL MN  Aalsmeer - Nieuwersluis-Loenen
ANZ     Amsterdamse Metro: Amsterdam Noord - Amsterdam Zuid
AOZ     Almelo - Oldenzaal grens
ARD AR  Amsterdam Singelgracht - Rotterdam Centraal
ARL     Amsterdam Riekerpolder - Leiden Centraal
ASI     Amsterdamse Metro: Spaklerweg - Isolatorweg
ASR     Amsterdam Singelgracht - Amsterdam Riekerpolder
AZW     Appeldoorn - Zwolle
BEH     Breda - Eindhoven Centraal
BHZ     Bilthoven - Zeist
BKH     Breukelen - Harmelen
BLN     Blauwkappel Noord - Blaukappel West
BLZ     Blauwkappel Oost - Blaukappel Zuid
BNT TT  (Turnhout -) Baarle-Nassau grens - Tilburg
BOO     Boekelo - Oldenzaal
BRM     Lage Zwaluwe - Moerdijk SS
BRT     Breda - Rotterdam Centraal
BTG     Boxtel - Gennep grens
BUH     Bovenkerk - Uithoorn
BVL     Budel grens - Vlodrop grens
DAP     Dieren - Apeldoorn
DBH     Den Haag Binckhorst - Den Haag HS
DCH     Den Haag Centraal - Den Haag HS
DDB     Den Dolder - Baarn
DDZ     Duivendrecht Aansluiting - Diemzen Zuid
DLC     Den Haag Laan van NOI - Den Haag Centraal
DML     Den Haag Mariahoeve - Den Haag Laan van NOI
DOM     Deventer - Ommen
DSV     Den Haag Laan von NOI - Scheveningen
DVA     Deventer - Almelo
DVH     Den Haag Voorburg - Den Haag HS
EDR     Elst - Dordrecht
EHW     Eindhoven - Weert
ENA     Enschede Zuid - Ahaus
GAR     Gaasperdammerweg - Amsterdam Riekerpolder
GBL     Glanerbrug - Losser
GCV     Gronau - Coevorden
GDA     Gouda - Alphen aan den Rijn
GDZ     Groningen - Delfzijl
GGH     Gouda - Den Haag Centraal
GTA     Gasselternijveen - Assen
GTN     Gent - Terneuzen
GWW     Groningen - Weiwerd
HAS     ’s-Heer Arendskerke - Vlissingen Sloehaven
HDL     Hoofddorp - Leiden Heerensingel
HHH HH  Heerhugowaard - Hoorn
HKP     Hattem - Kampen Zuid
HLV     Haltern - Venlo
HMB HM  Hoorn - Medemblik
HNS     Harlingen - Nieuwe Schans
HSG     Heerlen - Schin op Geul
HUG     Haarlem - Uitgeest
HVL     Hilversum - Lunetten
HZN     Zuidelijke splitsing (Haarlem) - Noordelijke splitsing (Haarlem)
HZV     Haarlem - Zaandvoort aan Zee
KAF KA  Kesteren - Amersfoort   
KMN     Keverdijk - Muiderberg (spoor ten noorden)
