AA	Aalsmeer - Amsterdam Willemspark
AD	Apeldoorn - Deventer
AE	Amsterdam Weesperpoort - Elten
AH	Aalsmeer - Haarlem
AL	Arnhem - Leeuwarden
AM	Aken - Maastricht
AN	Arnhem - Nijmegen
AO	Almelo - Oldenzaal grens
AR	Amsterdam - Rotterdam
AS	Amsterdam - Schiphol
AV	s-Heer Arendskerke - Vlissingen Sloehaven
AW	Appeldoorn - Zwolle
AZ	Amsterdam Centraal - Zutphen
BE	Breda - Eindhoven
BG	Boxtel - Gennep grens
BH	Breukelen - Harmelen
BO	Boekelo	- Oldenzaal EO
BR	Breda - Rotterdam
BU	Bovenkerk - Uithoorn
BV	Budel - Vlodrop
BZ	De Bilt - Zeist
DA	Deventer - Almelo
DB	Den Dolder - Baarn
DL	Hoofddorp - Leiden Heerensingel
DO	Deventer - Ommen
DP	Dieren - Apeldoorn
EA	Enschede Zuid - Ahaus
ED	Elst - Dordrecht
EW	Eindhoven - Weert
GA	Gouda - Alphen aan den Rijn
GC	Gronau - Coevorden
GD	Groningen - Delfzijl
GG	Gouda - Den Haag
GL	Glanerbrug - Losser
GN	Gasselternijveen - Assen
GT	Gent - Terneuzen
GW	Groningen - Weiwerd
HA	Den Helder - Amsterdam
HB	Harmelen - Breukelen
HH	Heerhugowaard - Hoorn
HK	Hattem - Kampen Zuid
HL	Hilversum - Lunetten
HM	Hoorn - Medemblik
HN	Harlingen - Nieuwe Schans
HR	Hoofddorp - Rotterdam
HS	Heerlen - Schin op Geul
HU	Haarlem - Uitgeest
HV	Haltern - Veno
HZ	Haarlem - Zaandvoort
KA	Kesteren - Amersfoort	
KN	Kleef - Nijmegen
LA	Leeuwarden - Anjum
LH	Lage Zwaluwe - ’s-Hertogenbosch
LI	Landgraaf - Simpelveld
LM	Lage Zwaluwe - Moerdijk
LR	Lage Zwaluwe - Roosendaal grens
LS	Leeuwarden - Stavoren
LV	Lewedorp - Vlissingen Sloehaven
LW	Lelystad - Zwolle
LZ	Leidschendam aansluiting - Zoetermeer
MG	Meppel - Groningen
ML	Maastricht - Lanaken
MN	Aalsmeer - Nieuwersluis-Loenen
MO	Marienberg - Almelo
MT	Mechelen - Terneuzen
MV	Maastricht - Venlo 
NE	Nijkerk - Ede-Wageningen
NH	Neede - Hellendoorn
NR	Nieuwerkerk aansl. - Rotterdam Maas
NT	Nieuwveen - Ter Aar
NV	Nijmegen - Venlo
PB	St. Pancras - Broek op Langedijk
RA      Rhenen - De Haar Aansluiting
RB	Roosendaal - Breda
RD	Ruurlo - Doetinchem
RH	Ruurlo - Hengelo
RM	Rotterdam Lombardijen - Maasvlakte
RN	Rotterdam Lombardijen - Noorderkempen
RR	Rotterdam DP - Rotterdam Maas
RS	Rotterdam Hofplein - Scheveningen
RV	Roosendaal - Vlissingen
RZ	Rotterdam - Zevenaar
SH	Schiedam - Hoek van Holland
SI	Santpoort Noord  - IJmuiden
SL	Sittard - Haanrade grens
SN	Stiens - Harlingen
SR	Sauwerd - Roodeschool
ST	Stadskanaal - Ter Apel Rijksgrens
SZ	Stadskanaal - Zuidbroek
TF	Tzummarum - Franeker
TN	Tilburg - Nijmegen
TT	(Turnhout -) Baarle-Nassau grens - Tilburg
UA	Uithoorn - Alphen aan den Rijn
UB	Utrecht - Boxtel
UR	Utrecht	- Rotterdam
UZ	Utrecht - Zwolle
VD	Varsseveld - Dinxperlo
VE	Venlo - Eindhoven
VG	Valkenswaard - Geldrop
VM	Vise - Maastricht
VV	Viersen - Venlo
WB	Winterswijk - Bocholt
WE	Winterslag - Eindhoven
WL	Woerden - Leiden
WN	Winterswijk - Neede
WP	Winsum - Zoutkamp
WS	Weesp - Leiden
WY	Weesp - Lelystad
WZ	Winterswijk - Zevenaar
ZA	Zwolle - Almelo
ZD	Zuidbroek - Delfzijl
ZE	Zaandam - Enkhuizen
ZG	Zutphen - Glanerbeek
ZK      Zwolle - Kampen
ZS	Zwolle - Stadskanal
ZW	Zutphen - Winterswijk grens

ACA	Amsterdam Centraal - Amsterdam Amstel	
BLN     Blauwkappel Noord - Blaukappel West
BLZ     Blauwkappel Oost - Blaukappel Zuid
BRM	Lage Zwaluwe - Moerdijk SS	
LHO	Made en Drimmelen - Oosterhout Weststad	
LRM	Zevenbergen - Moerdijk AR	
MKN	Muiderberg - Keverdijk (spoor ten noorden)
MKO	Muiderberg - Keverdijk (spoor ten oosten)
RMK	(Kijfhoek -) Barendrecht aansl. - Waalhaven Zuid	
RML	Rotterdam Lombardijen - Barendrecht Vork	
RNB	HSL Breda aansl. - Breda aansl.	
RNZ	HSL Zevenbergsche hoek aansl. - Zevenbergeschenhoek aansl.	
VNP   T Veendam - Nieuwe Pekela
WGD     Watergraafsmeer West - Muiderstraatweg
ZTA   T Zuidbroek - Ter Apel
ZVB     Zandvoort Dorp - Zandvoort Bad



        Tramlijn Winsum - Ulrum
        Tramlijn Groningen - Eelde
        Tramlijn Groningen - Zuidlaren
        Tramlijn Groningen - Haren - De Punt
        Tramlijn Drachten - Groningen
        Tramlijn Winschoten - Ter Apel
        Tramlijn Winschoten - Delfzijl
        Tramlijn Blijham - Bellingwolde
        Tramlijn Winschoten - Scheemda
WSK     Tramlijn Winschoten - Stadskanaal
        Tramlijn Erm - Ter Apel
        Tramlijn Coevorden - Ter Apel

# Friesland ...
