AAJ   Åmål - Årjäng
ABK   Ängelsberg - Kärrgruvan
ABP   Älvsbyn - Piteå hamn
AGX   Ångebyn - Ångebyn 21
AHB   Ängelholm - Helsingborg
AHK   Ängelholm - Klippan
AKF   Avesta Krylbo - Frövi
AKK   Almedal - Karlskrona central
AKS   Älmhult - Kristianstad
ALE   Alvhem - Lilla Edet
AMD   Ånge - Ånge godsbangård - Moradal
ARN   Arlanda nedre - Arlanda norra
ARV   Avesta Krylbo - Rättvik
ASB   Älmhult - Sölvesborg
ASL   Askersund - Lerbäck
ASN   Askesta - Sandarna
ASO   Albano - Stockholms östra
ASR   Åkers styckebruk - Strängnäs
ASU   Åsen - Unnen
ASV   Ånge - Sundsvall
ATM   Åstorp - Mölle
AZG   Åmmeberg - Zinkgruvan
BBH   Bjuv - Billesholm
BBM   Brintbodarne - Malung
BBS   Björndalsbron - Skymnäs
BFG   Brattfors - Geijersdal
BFV   Bofors - Valåsen
BHK   Bånghammar - Kloten
BHL   Bjuv - Hyllinge
BHP   Boden central - Haparanda gräns
BHS   Barsebäcksham  - Sjöbo
BIL   Billesholm - Landskrona
BKV   Brogrenen - Kyrkviken
BLH   Byvalla - Långshyttan
BLK   Billeberga - Landskrona
BLU   Boden central - Luleå malmhamn
BNO   Bollnäs - Orsa
BOH   Bor norra - Ohs bruk
BOS   Bokskogen nedre - Bokskogen övre
BRG   Boden central - Riksgränsen gräns
BSA   Bjärka Säby - Åtvidaberg
BSF   Beted - Skillingsfors
BSH   Börringe - Smygehamn
BSL   Bräcke - Storlien gräns
BTD   Birsta - Johannedal växel
BTS   Bastuträsk - Skelleftehamns - Rönnskärsverken
BVB   Bollstabruk - Västeraspby
BVH   Bredviken - Haparanda
BYX   Blägda - Yxern
CLS   Charlottenlund - Skivarp
CRX   Kristianstad 114 - Kristianstad GBG
CTY   Citybanan Stockolm.
DBS   Dalby - Bjärsjölagård
DHB   Dagarn - Hultebo
DHN   Djursholms Ösby - Näsbypark
DLF   Daglösen - Filipstad
DMH   Dannemora - Hallstavik
DMX   Dannemora västra - Dannemora södra
DSN   Djursholms Ösby - Svalnäs
EBK   Emmaboda - Kalmar central
EKH   Enköping - Enköpings hamn
ELE   Ed - Le
ENO   Ervalla - Nora - Otterbäcken
EOB   Eksjö - Österbymo
ERH   Enköping - Runhällen
ESN   Eskilstuna södra - Eskilstuna norra
EYS   Eslöv - Ystad
FBJ   Falun central - Björbo
FFO   Flen - Flens övre
FGB   Falun central - Göteborg N
FGG   Fors - Gruvgården
FHT   Forsmo - Hoting
FKN   Falköpings central - Nässjö central
FKP   Frövi - Köping
FLJ   Flemingsberg - Järna
FLN   Fjärås - Lygnern
FLR   Falköpings central - Landeryd
FLS   Färlöv - Strö
FLU   Frövi - Ludvika
FNM   Fornåsa - Motala central
FOB   Färjestaden - Ottenby
FPB   Filipstad - Persberg
FSB   Färjestaden - Böda
FSG   Fredriksskans - Gävle godsbangård
FSH   Filipstad - Skoghall
FSL   Fryksta - Lyckan
FUG   Falköping - Uddagården
FVX   Frövi 312 - Frövi 311
FYV   Finspång - Yxviken
GAH   Göteborg Central - Ängelholm
GBM   Göteborg Central - Arlöv (- Malmö)
GBX   Gävle godsbangård - Gävle central 423
GFH   Göteborg Västgöta - Forshem
GFR   Gimo - Faringe
GGB   Gävle central - Gävle godsbangård - Strömsbro
GHT   Gårdsjö - Håkantorp
GJK   Gånghester - Jönköpings central
GKJ   Guttsta - Kohlswa Jernverk
GKS   Göteborg Kville - Göteborg Skandiahamnen
GKV   Gammelstad - Karlsvik
GLH   Gävle central - Gävle-Långharn
GMO   Gävle central - Mora central
GNX   Gävle N - Gävle central 423
GOD   Göringen - Dalfors
GSA   Säröbanans Göteborg - Särö Västerskog
GSS   Göteborg - Strömstad
GSV   Göteborg Skandiahamnen - Göteborg Volvo
GTB   Gyttorp - Bredsjö
GTV   Gällivare - Tingvallskulle
GVF   Gällivare - Vitåfors
GVO   Gävle central - Ockelbo
GVX   Gällivare 511 - Gällivare 503
HAF   Hillared - Axelfors
HAJ   Hällnäs - Arvidsjaur
HBF   Hallsberg - Frövi
HBM   Hallsberg - Mjölby
HBR   Helsingborg - Råå
HEL   Helsingborg - Eslöv
HFG   Hällefors - Gravendal
HFX   Åbydal - Hamrångefjärden
HHA   Hässleholm - Åhus hamn
HHR   Hässleholm - Ramlösa
HKB   Hallanda - Kättilsbyn
HMB   Harmånger - Bergsjö
HNS   Hamrångefjärden - Norrsundet
HNV   Hörken - Neva
HRS   Hallsbergs rangerbangård - Skymossen
HRT   Hestra - Reftele
HSL   Hästveda - Skepparslöv
HSM   Härnösand - Mörtsal växel
HST   Hyllie - Svågertorp
HSV   Halmstad - Vislanda
HUR   Husums norra - Rågön
HVB   Hudiksvall - Vattrångsby
HVV   Hå - Vallvik
HYH   Hörby - Höör
ISS   Igelboda - Solsidan
JAB   Järna - Åby södra
JBH   Jädersbruk - Hovsta
JGV   Jörn - Gällivare
JKV   Jönköping Ö - Vireda
JLV   Johannisberg - Ljungaverk
JMB   Jularbo - Månsbo
JSH   Jämtlands Sikås - Hammerdal
JVJ   Jenny - Växjö
JVR   Jönköpings central - Vaggeryd
KAS   Kummelby - Arkösund
KAX   Kattarp 521 - Kattarp 532
KBB   Kisstjärnsbäcken - Bastkärn
KBH   Kolbäck - Brattheden
KBK   Källby - Kinne Kleva
KBX   Kolbäck 118 - Kolbäck 116
KEL   Klippan - Eslöv
KFK   Kil - Fryksta
KFS   Kilafors - Söderhamn V
KGH   Kortfors - Grythyttan
KGK   Kärrgruvan - Klackberg
KHB   Kristinehamn - Brunflo
KHM   Katrineholms central - Malmö central
KHT   Klagshamn - Tygelsjö
KMB   Kalmar - Berga
KMT   Kalmar - Torsås
KMV   Kolmården - Virå
KNH   Kimstad - Norsholm
KPS   Kvillsfors - Pauliström
KRB   Klockrike - Borensberg
