10   Dobova d.m. - Ljubljana
11   Ljubljana Zalog - Cepišče Kajuhova
12   Ljubljana Zalog - Ljubljana (P4)
13   Ljubljana Zalog - Ljubljana (P5)
14   Lok Zidani Most
20   Ljubljana - Jesenize d.m.
21   Ljubljana Šiška - Kamnik Graben
30   Zidani Most - Šentilj d.m.
31   Celje - Dravograd
32   Rogatec d.m. - Grobelno
33   Imeno d.m. - Stranje
34   Maribor - Prevalje d.m.
35   Maribor Tezno - Maribor Studenci
40   Pragersko - Ormož
41   Ormož - Hodoš d.m.
42   Ljutomer - Gornja Radgona d.m.
43   Lendava d.m. - Rédics d.m.
44   Ormož - Središče d.m.
45   Lok Pragersko
50   Ljubljana - Sežana d.m.
51   Lok Divača
60   Divača - Cepišče Prešnica
61   Cepišče Prešnica - Rakitovec d.m.
62   Cepišče Prešnica - Koper
64   Pivka - Ilirska Bistrica d.m.
70   Jesenice - Sežana
71   Cepišče Šempeter pri Gorici - Vrtojba d.m.
72   Prvačina - Ajdovščina
73   Cepišče Kreplje - Repentabor d.m.
80   Metlika d.m. - Ljubljana
81   Sevnica - Trebnje
82   Grosuplje - Kočevje
BV   Brezovica - Vrhnika
DV   Ljubljana Dravlje - Ljubljana Vodmat
JT   Jesenice - Rateče d.m. (- Tarvisio)
KT   Kranj - Tržič
LD   Dravograd d.m. - Dravograd
NS   Novo mesto - Straža
PS   Velenje Pesje - Škalam
PZ   Poljčane - Zreče
SB   Slovenska Bistrica - Slovenska Bistrica Mesto
TH   Hrpelje-Kozina d.m. - Hrpelje-Kozina
TP   Albaro Vescovà-Scoffie d.m. - Sicciole d.m.
TX   Tivolksi lok
VL   Ljubljana Vižmarje - Laze
VS   Lok Vrtojba
VX   Vodmatski lok



# Sheets Map 1:100,000
#
#                    Sl. Gradec - Maribor - Murska Sobata - Lendava
# Bled - Ljubljana - Celje      - Rogatec - Ptuj
#        Ribnica   - Novo Mesto
